               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10551,            0.038214,            0.034123,             0.47576,             0.20937,             0.15216,            0.036251,            0.086295,            0.036923,            0.023457,              0.0739,              0.0029,              0.0029
                   1,             0.08263,            0.031637,            0.019683,             0.89896,             0.24066,             0.28643,            0.099954,            0.092561,            0.025584,            0.012717,            0.046783,           0.0057832,           0.0057832
                   2,            0.082639,            0.024359,            0.013406,             0.73312,             0.58678,             0.43064,             0.12631,            0.078051,            0.022641,           0.0079017,            0.019548,           0.0085476,           0.0085476
                   3,            0.080619,            0.021418,           0.0092919,             0.79087,             0.37456,             0.43339,             0.12396,            0.075793,            0.020673,           0.0059477,            0.009406,            0.009406,            0.009406
                   4,            0.072095,             0.02028,           0.0073446,             0.84668,             0.45486,             0.54629,             0.19718,            0.077165,            0.018419,            0.004497,            0.009406,            0.009406,            0.009406
                   5,            0.065877,            0.019792,           0.0061409,             0.71313,             0.56474,             0.59792,             0.20552,            0.067681,            0.019772,           0.0040199,            0.009208,            0.009208,            0.009208
                   6,            0.060866,            0.017432,           0.0052247,              0.6812,             0.64738,             0.68202,             0.30879,             0.05964,            0.017375,            0.003505,             0.00901,             0.00901,             0.00901
                   7,            0.056898,            0.018113,           0.0047291,             0.65788,             0.71074,             0.65623,             0.22511,            0.050763,            0.017223,           0.0032336,            0.008812,            0.008812,            0.008812
                   8,             0.05478,            0.017592,           0.0040528,             0.56821,             0.69221,             0.62527,             0.23428,            0.057989,             0.01665,           0.0028965,            0.008614,            0.008614,            0.008614
                   9,            0.052625,            0.016776,           0.0038651,              0.6202,             0.81284,             0.65236,             0.28322,            0.054515,            0.016521,           0.0029465,            0.008416,            0.008416,            0.008416
                  10,            0.050502,            0.016589,           0.0037572,             0.81871,             0.80999,             0.79551,             0.31081,            0.046715,            0.016692,           0.0026204,            0.008218,            0.008218,            0.008218
                  11,            0.048664,            0.016258,           0.0034231,             0.92306,             0.81438,             0.83154,             0.35563,            0.047609,            0.015812,           0.0025465,             0.00802,             0.00802,             0.00802
                  12,            0.047533,            0.016294,           0.0031974,             0.85915,              0.7817,             0.79354,             0.33413,            0.045664,            0.015738,           0.0024355,            0.007822,            0.007822,            0.007822
                  13,              0.0462,             0.01577,           0.0032182,             0.79392,             0.82369,             0.81941,             0.33993,            0.044802,             0.01608,           0.0024511,            0.007624,            0.007624,            0.007624
                  14,            0.045868,            0.015024,           0.0030385,              0.9456,             0.83668,             0.87135,              0.3962,            0.041102,            0.015424,             0.00226,            0.007426,            0.007426,            0.007426
                  15,            0.044778,            0.016101,           0.0029843,             0.92472,             0.86501,             0.86228,             0.39473,            0.041236,            0.015026,           0.0022327,            0.007228,            0.007228,            0.007228
                  16,            0.042919,            0.015611,           0.0027185,             0.88243,             0.87128,             0.86492,             0.40266,            0.041188,            0.015069,           0.0020584,             0.00703,             0.00703,             0.00703
                  17,            0.041925,             0.01555,           0.0025812,             0.93067,              0.8843,             0.88492,             0.42094,            0.039861,            0.015033,           0.0020204,            0.006832,            0.006832,            0.006832
                  18,            0.041144,            0.015952,           0.0025662,             0.94529,             0.90358,             0.88749,               0.418,            0.038073,            0.014949,           0.0019945,            0.006634,            0.006634,            0.006634
                  19,            0.040606,            0.015471,           0.0023088,             0.93249,             0.89532,             0.86942,             0.43101,            0.036964,            0.014723,           0.0018661,            0.006436,            0.006436,            0.006436
                  20,            0.041376,            0.015531,           0.0023127,             0.94955,             0.89256,             0.89185,             0.43296,            0.036879,            0.014824,           0.0018355,            0.006238,            0.006238,            0.006238
                  21,            0.039563,            0.015118,           0.0022372,             0.89517,             0.88915,             0.87563,             0.41332,            0.038802,            0.014731,           0.0018104,             0.00604,             0.00604,             0.00604
                  22,            0.039984,            0.014984,            0.002265,             0.92634,             0.89786,             0.85998,             0.42459,            0.035817,            0.014653,           0.0017531,            0.005842,            0.005842,            0.005842
                  23,            0.038073,            0.015092,           0.0020594,             0.95752,             0.90909,             0.91147,              0.4394,            0.035225,            0.014588,           0.0016341,            0.005644,            0.005644,            0.005644
                  24,            0.038587,            0.014687,           0.0021869,             0.95039,             0.90397,             0.90453,             0.40283,             0.03761,            0.014639,           0.0016507,            0.005446,            0.005446,            0.005446
                  25,             0.03722,            0.014577,           0.0019509,               0.933,             0.89442,             0.88794,             0.39652,            0.037841,            0.014679,           0.0016098,            0.005248,            0.005248,            0.005248
